Approved.symbol	Previous.symbols	Alias.symbols	NCBI.Gene.ID	Ensembl.gene.ID
NAP1L2	NA	BPX, MGC26243	4674	ENSG00000186462
NAP1L3	NA	MB20, NPL3, MGC26312	4675	ENSG00000186310
NAP1L4	NA	NAP2	4676	ENSG00000205531
NAP1L4P1	NA	NA	728589	ENSG00000177173
NAP1L4P2	NA	NA	NA	ENSG00000224816
NAP1L4P3	NA	NA	730174	ENSG00000234145
NAP1L5	NA	DRLM	266812	ENSG00000177432
NAP1L6P	NAP1L6	FLJ33596	645996	ENSG00000204118
NAPA	NA	NA	8775	ENSG00000105402
NAPA-AS1	NA	NA	100505681	NA
NAPB	NA	SNAP-BETA, SNAPB	63908	ENSG00000125814
NAPEPLD	NA	FMP30, C7orf18, NAPE-PLD	222236	ENSG00000161048
NAPG	NA	NA	8774	ENSG00000134265
NAPGP1	NA	NA	100288843	ENSG00000271408
NAPGP2	NA	NA	100422429	ENSG00000275906
NAPRT	NAPRT1	PP3856	93100	ENSG00000147813
NAPSA	NA	NAP1, NAPA, Kdap, KAP	9476	ENSG00000131400
NAPSB	NA	NAP1L, NAP2, NAPB, NAPSBP	256236	ENSG00000131401
NARF	NA	FLJ10067, DKFZp434G0420, IOP2	26502	ENSG00000141562
NARF-AS1	NA	ENST00000582249.1	NA	ENSG00000266445
NARF-IT1	NARF-OT1	NA	100506001	ENSG00000266236
NARS1	NARS	NA	4677	ENSG00000134440
NARS1P1	NARSP, NARSP1	NA	319127	NA
NARS1P2	NARSP2	NA	100287895	ENSG00000253789
NARS2	DFNB94	FLJ23441, SLM5	79731	ENSG00000137513
NASP	NA	FLB7527, FLJ31599, FLJ35510, MGC19722, MGC20372, MGC2297, DKFZp547F162, PRO1999	4678	ENSG00000132780
NASPP1	NA	NA	282694	NA
NAT1	AAC1	NA	9	ENSG00000171428
NAT2	AAC2	NA	10	ENSG00000156006
NAT8	NA	Hcml1, TSC501, GLA, ATase2	9027	ENSG00000144035
NAT8B	NA	Hcml2, NAT8BP, CML2	51471	ENSG00000204872
NAT8L	NA	FLJ37478, Hcml3, Shati	339983	ENSG00000185818
NAT9	NA	DKFZP564C103	26151	ENSG00000109065
NAT10	NA	hALP, FLJ10774, FLJ12179, NET43, KIAA1709, Kre33	55226	ENSG00000135372
NAT14	NA	KLP1	57106	ENSG00000090971
NAT16	C7orf52	FLJ39237	375607	ENSG00000167011
NATD1	C17orf103	MGC33894, Gtlf3b	256302	ENSG00000274180
NATP	AACP	NATP1	11	ENSG00000253937
NAV1	NA	FLJ12560, FLJ14203, KIAA1151, MGC14961, POMFIL3, steerin-1, DKFZp781D0314	89796	ENSG00000134369
NAV2	NA	FLJ10633, FLJ11030, HELAD1, KIAA1419, POMFIL2, RAINB1, FLJ23707	89797	ENSG00000166833
NAV2-AS1	NA	NA	NA	ENSG00000254894
NAV2-AS2	NA	NA	NA	ENSG00000254453
NAV2-AS3	NA	NA	NA	ENSG00000254542
NAV2-AS4	NA	NA	399876	ENSG00000254622
NAV2-AS5	NA	NA	100874012	ENSG00000255043
NAV2-IT1	NA	NA	NA	ENSG00000255270
NAV3	NA	KIAA0938, POMFIL1	89795	ENSG00000067798
NAXD	CARKD	LP3298, FLJ10769	55739	ENSG00000213995
NAXE	APOA1BP	AIBP, MGC119143, MGC119144, MGC119145, YJEFN1	128240	ENSG00000163382
NBAS	NA	NAG	51594	ENSG00000151779
NBAT1	CASC14	NBAT-1	729177	ENSG00000260455
NBCCS~withdrawn	NA	NA	NA	NA
NBDY	LINC01420	NoBody	550643	ENSG00000204272
NBEA	NA	KIAA1544, BCL8B, FLJ10197, LYST2	26960	ENSG00000172915
NBEA-AS1	NA	NA	NA	NA
NBEAL1	ALS2CR17, ALS2CR16	MGC164581	65065	ENSG00000144426
NBEAL2	NA	KIAA0540	23218	ENSG00000160796
NBEAP1	BCL8	BCL8A	606	ENSG00000258590
NBEAP2	NA	BCL8D	100418881	ENSG00000197927
NBEAP3	NA	BCL8C	100418905	ENSG00000223875
NBEAP4	NA	NA	100418897	ENSG00000258883
NBEAP5	NA	NA	100418903	ENSG00000277710
NBEAP6	NA	NA	100418904	ENSG00000285990
NBIA1~withdrawn	NA	HSS, FLJ11729, PKAN	NA	NA
NBL1	NA	D1S1733E, NB, DAN, NO3, DAND1	4681	ENSG00000158747
NBN	NBS, NBS1	ATV, AT-V2, AT-V1	4683	ENSG00000104320
NBP1~withdrawn	NA	NA	NA	NA
NBPF1	NA	FLJ20719, KIAA1693	55672	ENSG00000219481
NBPF2P	NA	NA	343381	ENSG00000227001
NBPF3	NA	AE2	84224	ENSG00000142794
NBPF4	NA	FLJ32833	148545	ENSG00000196427
NBPF5P	NBPF5	NA	100507044	ENSG00000243967
NBPF6	NA	NA	653149	ENSG00000186086
NBPF7	NA	NA	343505	ENSG00000215864
NBPF8	NBPF8P	NA	728841	ENSG00000270231
NBPF9	NA	AE01	400818	ENSG00000269713
NBPF10	NA	AG1	100132406	ENSG00000271425
NBPF11	NBPF24	NA	200030	ENSG00000263956
NBPF12	KIAA1245	COAS1	149013	ENSG00000268043
NBPF13P	NA	NA	644861	ENSG00000283342
NBPF14	NA	DJ328E19.C1.1	25832	ENSG00000270629
NBPF15	NBPF16	MGC8902	284565	ENSG00000266338
NBPF16~withdrawn	NA	NA	NA	NA
NBPF17P	NBPF23P, NBPF23	NA	401967	ENSG00000179571
NBPF18P	NA	NA	441908	ENSG00000240667
NBPF19	NA	NA	101060226	ENSG00000271383
NBPF20	NA	NA	100288142	ENSG00000162825
NBPF21P	NA	NA	205655	ENSG00000231382
NBPF22P	NA	MGC48637	285622	ENSG00000205449
NBPF23P~withdrawn	NBPF23	NA	NA	NA
NBPF24~withdrawn	NA	NA	NA	NA
NBPF25P	NA	NA	101929780	ENSG00000272150
NBPF26	NA	NA	101060684	ENSG00000273136
NBR1	M17S2	CA125, KIAA0049, 1A1-3B	4077	ENSG00000188554
NBR2	NA	NCRNA00192	10230	ENSG00000198496
NCA~withdrawn	NA	NA	NA	NA
NCAD~withdrawn	NA	NA	NA	NA
NCALD	NA	NA	83988	ENSG00000104490
NCAM1	NA	NCAM, CD56	4684	ENSG00000149294
NCAM1-AS1	NA	NA	100288346	ENSG00000227487
NCAM2	NA	NCAM21, MGC51008	4685	ENSG00000154654
NCAN	CSPG3	NA	1463	ENSG00000130287
NCAPD2	NA	CNAP1, hCAP-D2, CAP-D2, KIAA0159	9918	ENSG00000010292
NCAPD2P1	NA	NA	100421175	ENSG00000230356
NCAPD3	NA	hCAP-D3, CAP-D3, hHCP-6, KIAA0056, FLJ42888, hcp-6	23310	ENSG00000151503
NCAPG	NA	FLJ12450, hCAP-G, CAP-G, YCG1	64151	ENSG00000109805
NCAPG2	LUZP5	FLJ20311, MTB, CAP-G2, hCAP-G2	54892	ENSG00000146918
NCAPGP1	NA	NA	100421096	ENSG00000250290
NCAPGP2	NA	NA	100421148	ENSG00000259749
NCAPH	BRRN1	CAP-H, hCAP-H	23397	ENSG00000121152
NCAPH2	NA	384D8-2, hCAP-H2, CAP-H2	29781	ENSG00000025770
NCBP1	NCBP	CBP80, Sto1	4686	ENSG00000136937
NCBP2	NA	NIP1, CBP20, Cbc2	22916	ENSG00000114503
NCBP2-AS1	NA	NA	NA	ENSG00000225578
NCBP2AS2	NCBP2-AS2	HIAR, KRASIM	152217	ENSG00000270170
NCBP2L	NA	NA	392517	ENSG00000170935
NCBP3	C17orf85	HSA277841, ELG	55421	ENSG00000074356
NCCRP1	NA	LOC342897, NCCRP-1, FBXO50	342897	ENSG00000188505
NCDN	NA	NCDN-1, NCDN-2	23154	ENSG00000020129
NCEH1	AADACL1	KIAA1363, NCEH	57552	ENSG00000144959
NCF1	NA	p47phox, NOXO2, NCF1A, SH3PXD1A	653361	ENSG00000158517
NCF1B	NA	SH3PXD1B	654816	ENSG00000182487
NCF1C	NA	SH3PXD1C	654817	ENSG00000165178
NCF2	NA	p67phox, NOXA2	4688	ENSG00000116701
NCF4	NA	p40phox, SH3PXD4	4689	ENSG00000100365
NCF4-AS1	NA	CTA-833B7.2	107985578	ENSG00000183822
NCK~withdrawn	NA	NA	NA	NA
NCK1	NCK	NCKalpha	4690	ENSG00000158092
NCK1-DT	NCK1-AS1	SLC35G2-AS1	101927597	ENSG00000239213
NCK2	NA	NCKbeta	8440	ENSG00000071051
NCKAP1	NA	Nap1, HEM2, NAP125	10787	ENSG00000061676
NCKAP1L	HEM1	NA	3071	ENSG00000123338
NCKAP5	NA	NAP5, ERIH1, ERIH2	344148	ENSG00000176771
NCKAP5-AS1	NA	NA	101928185	ENSG00000233729
NCKAP5-AS2	NA	NA	101928161	ENSG00000226953
NCKAP5-IT1	NA	NA	NA	ENSG00000232474
NCKAP5L	KIAA1602	NA	57701	ENSG00000167566
NCKIPSD	NA	AF3P21, SPIN90, ORF1, WISH, WASLBP, DIP1	51517	ENSG00000213672
NCL	NA	C23, Nsr1	4691	ENSG00000115053
NCLN	NA	NICALIN, NET59	56926	ENSG00000125912
NCLP1	NA	NA	100302751	ENSG00000213212
NCLP2	NA	bA85L21.1	100379142	ENSG00000234228
NCMAP	C1orf130	FLJ42528, MP11	400746	ENSG00000184454
NCMAP-DT	NA	NA	100506985	ENSG00000264443
NCOA1	NA	SRC1, F-SRC-1, NCoA-1, KAT13A, RIP160, bHLHe74	8648	ENSG00000084676
NCOA2	NA	TIF2, GRIP1, NCoA-2, KAT13C, bHLHe75	10499	ENSG00000140396
NCOA3	NA	RAC3, AIB1, ACTR, p/CIP, TRAM-1, CAGH16, TNRC16, KAT13B, bHLHe42, SRC-3, SRC3	8202	ENSG00000124151
NCOA4	NA	ARA70, RFG, ELE1, PTC3, DKFZp762E1112	8031	ENSG00000266412
NCOA4P1	NCOA4P	NA	326605	ENSG00000258629
NCOA4P2	NA	NA	728333	ENSG00000249934
NCOA4P3	NA	NA	729497	ENSG00000249245
NCOA4P4	NA	NA	642262	ENSG00000249215
NCOA5	NA	bA465L10.6, CIA	57727	ENSG00000124160
NCOA6	NA	KIAA0181, RAP250, ASC2, AIB3, PRIP, TRBP, NRC	23054	ENSG00000198646
NCOA7	NA	ERAP140, dJ187J11.3, TLDC4	135112	ENSG00000111912
NCOA7-AS1	NA	NA	NA	ENSG00000232131
NCOR1	NA	N-CoR, hCIT529I10, TRAC1, hN-CoR, KIAA1047, MGC104216, PPP1R109	9611	ENSG00000141027
NCOR1P1	C20orf191	bB329D4.2	149934	ENSG00000240108
NCOR1P2	NA	NA	729490	ENSG00000265019
NCOR1P3	NA	NA	100874183	ENSG00000233601
NCOR1P4	NA	NA	105379511	ENSG00000279864
NCOR2	NA	SMRT, SMRTE, TRAC-1, CTG26, TNRC14	9612	ENSG00000196498
NCR1	LY94	NK-p46, NKP46, CD335	9437	ENSG00000189430
NCR2	LY95	NK-p44, CD336	9436	ENSG00000096264
NCR3	LY117	1C7, NKp30, CD337	259197	ENSG00000204475
NCR3LG1	NA	DKFZp686O24166, B7-H6	374383	ENSG00000188211
NCRNA00055	CXYorf9	OTTHUMG00000021054	NA	NA
NCRNA00056	CXorf47	OTTHUMG00000021958	NA	NA
NCRNA00090	NA	bA548K23.5	NA	NA
NCRNA00091	CXYorf7	OTTHUMG00000021062, ENSESTG00000011457	NA	NA
NCRNA00098	C21orf20	NA	NA	NA
NCRNA00103~withdrawn	CXYorf12	NA	NA	NA
NCRNA00104	CXYorf6	NA	NA	NA
NCRNA00185~withdrawn	CYorf14	PRO2834	NA	NA
NCRNA00220~withdrawn	C14orf95	NA	NA	NA
NCRNA00250	C8orf24	NA	NA	NA
NCRNA00270	NA	NA	NA	NA
NCRNA00270B	NA	NA	NA	NA
NCRNA00291~withdrawn	C14orf25	NA	NA	NA
NCRUPAR	NA	ncR-uPAR, NCRNA00193	100302746	NA
NCS1	FREQ	NCS-1	23413	ENSG00000107130
NCSTN	NA	KIAA0253, APH2	23385	ENSG00000162736
NCSTNP1	NA	NA	NA	ENSG00000219592
NCX1~withdrawn	NA	NA	NA	NA
NDC1	TMEM48	FLJ10407, NET3	55706	ENSG00000058804
NDC80	KNTC2	HEC, HEC1, hsNDC80, TID3	10403	ENSG00000080986
NDE1	NA	nudE, FLJ20101, NDE	54820	ENSG00000072864
NDE1P1	NA	NA	100422372	NA
NDE1P2	NA	NA	NA	ENSG00000271337
NDEL1	NA	NUDEL, MITAP1, NDE1L1, NDE2	81565	ENSG00000166579
NDFIP1	NA	N4WBP5, MGC10924	80762	ENSG00000131507
NDFIP1P1	NA	NA	100420792	ENSG00000255892
NDFIP2	NA	KIAA1165, N4wbp5a	54602	ENSG00000102471
NDFIP2-AS1	NA	NA	NA	ENSG00000232132
NDN	NA	HsT16328, PWCR	4692	ENSG00000182636
NDNF	C4orf31	FLJ23191	79625	ENSG00000173376
NDNL1~withdrawn	NA	NA	NA	NA
NDOR1	NA	NR1, bA350O14.9, CIAE1	27158	ENSG00000188566
NDP	EVR2	norrin	4693	ENSG00000124479
NDP-AS1	NA	NA	NA	ENSG00000236276
NDRG1	CAP43	DRG1, RTP, TDD5, NDR1	10397	ENSG00000104419
NDRG2	NA	KIAA1248, SYLD	57447	ENSG00000165795
NDRG3	NA	NA	57446	ENSG00000101079
NDRG4	NA	KIAA1180, SMAP-8	65009	ENSG00000103034
NDST1	HSST	NST1	3340	ENSG00000070614
NDST1-AS1	NA	NA	102546298	ENSG00000254333
NDST2	NA	NST2, HSST2	8509	ENSG00000166507
NDST3	NA	HSST3	9348	ENSG00000164100
NDST4	NA	NA	64579	ENSG00000138653
NDUFA1	NA	MWFE, CI-MWFE	4694	ENSG00000125356
NDUFA2	NA	B8	4695	ENSG00000131495
NDUFA3	NA	B9	4696	ENSG00000170906
NDUFA3P1	NA	NA	100131388	ENSG00000267590
NDUFA3P2	NA	NA	NA	ENSG00000254856
NDUFA3P3	NA	NA	644482	ENSG00000213032
NDUFA3P4	NA	NA	NA	ENSG00000259262
NDUFA3P5	NA	NA	NA	NA
NDUFA3P6	NA	NA	NA	ENSG00000262366
NDUFA4	NA	MLRQ, CI-9k, COXFA4	4697	ENSG00000189043
NDUFA4L2	NA	NUOMS, FLJ26118, COXFA4L2	56901	ENSG00000185633
NDUFA4P1	NA	NA	360165	ENSG00000224550
NDUFA4P2	NDUFA4L	bcm1723	100287880	ENSG00000236691
NDUFA5	NA	B13, NUFM, CI-13KD-B, UQOR13, CI-13kB	4698	ENSG00000128609
NDUFA5P1	NA	NA	4699	ENSG00000232390
NDUFA5P2	NA	NA	NA	ENSG00000253454
NDUFA5P3	NA	NA	100288035	ENSG00000234853
NDUFA5P4	NA	NA	100128136	ENSG00000233659
NDUFA5P5	NA	NA	100130327	ENSG00000242365
NDUFA5P6	NA	NA	100288339	ENSG00000256310
NDUFA5P7	NA	NA	NA	ENSG00000234039
NDUFA5P8	NA	NA	NA	ENSG00000236987
NDUFA5P9	NA	NA	100289579	ENSG00000220831
NDUFA5P10	NA	NA	NA	ENSG00000224927
NDUFA5P11	NA	NA	NA	ENSG00000259918
NDUFA5P12	NA	NA	100288013	ENSG00000248531
NDUFA6	NA	B14, LYRM6, CI-B14, NADHB14	4700	ENSG00000184983
NDUFA6-DT	NDUFA6-AS1	NA	100132273	ENSG00000237037
NDUFA7	NA	B14.5a	4701	ENSG00000267855
NDUFA8	NA	PGIV, MGC793	4702	ENSG00000119421
NDUFA8P1	NA	NA	NA	ENSG00000271710
NDUFA9	NDUFS2L	SDR22E1, CI-39k, COQ11	4704	ENSG00000139180
NDUFA9P1	NA	dJ106I20.2	266625	ENSG00000237406
NDUFA10	NA	CI-42k	4705	ENSG00000130414
NDUFA11	NA	B14.7	126328	ENSG00000174886
NDUFA12	NA	DAP13, B17.2	55967	ENSG00000184752
NDUFA12P1	NA	NA	100527945	ENSG00000225999
NDUFA13	NA	CGI-39, CDA016, GRIM-19, GRIM19, B16.6	51079	ENSG00000186010
NDUFAB1	NA	SDAP, FASN2A, ACP, ACP1	4706	ENSG00000004779
NDUFAB1P1	NA	NA	NA	ENSG00000217767
NDUFAF1	NA	CIA30, CGI-65	51103	ENSG00000137806
NDUFAF2	NDUFA12L	B17.2L, MMTN, mimitin	91942	ENSG00000164182
NDUFAF2P1	NA	NA	727919	ENSG00000279307
NDUFAF2P2	NA	NA	100130783	ENSG00000255358
NDUFAF3	C3orf60	MGC10527, DKFZP564J0123, E3-3, 2P1	25915	ENSG00000178057
NDUFAF4	C6orf66	HSPC125, bA22L21.1, My013, HRPAP20	29078	ENSG00000123545
NDUFAF4P1	NA	NA	100306975	ENSG00000259467
NDUFAF4P2	NA	NA	402676	ENSG00000213483
NDUFAF4P3	NA	NA	100422532	ENSG00000236411
NDUFAF4P4	NA	NA	100128889	ENSG00000231378
NDUFAF5	C20orf7	dJ842G6.1	79133	ENSG00000101247
NDUFAF6	C8orf38	MGC40214	137682	ENSG00000156170
NDUFAF7	C2orf56	PRO1853, MidA	55471	ENSG00000003509
NDUFAF8	C17orf89	NA	284184	ENSG00000224877
NDUFB1	NA	MNLL, CI-MNLL	4707	ENSG00000183648
NDUFB1P1	NDUFB1P	bcm3095	100190952	ENSG00000231884
NDUFB1P2	NA	NA	100380272	ENSG00000234523
NDUFB2	NA	AGGG, CI-AGGG	4708	ENSG00000090266
NDUFB2-AS1	NA	NA	100134713	ENSG00000240889
NDUFB2P1	NA	NA	NA	ENSG00000249074
NDUFB3	NA	B12	4709	ENSG00000119013
NDUFB3P1	NA	NA	93993	NA
NDUFB3P2	NA	NA	93994	NA
NDUFB3P3	NA	NA	93996	NA
NDUFB3P4	NA	NA	93995	NA
NDUFB3P5	NA	NA	93997	NA
NDUFB4	NA	B15	4710	ENSG00000065518
NDUFB4P1	NA	NA	100288654	ENSG00000242510
NDUFB4P2	NA	NA	100132036	ENSG00000251306
NDUFB4P3	NA	NA	100288420	ENSG00000231096
NDUFB4P4	NA	NA	NA	ENSG00000217718
NDUFB4P5	NA	NA	NA	ENSG00000226114
NDUFB4P6	NA	NA	NA	ENSG00000235258
NDUFB4P7	NA	NA	NA	ENSG00000225428
NDUFB4P8	NA	NA	NA	ENSG00000223663
NDUFB4P9	NA	NA	NA	ENSG00000249754
NDUFB4P10	NA	NA	NA	ENSG00000232880
NDUFB4P11	NA	NA	NA	ENSG00000259374
NDUFB4P12	NA	NA	402175	ENSG00000124399
NDUFB5	NA	SGDH, CI-SGDH, MGC12314	4711	ENSG00000136521
NDUFB5P1	NA	NA	100288337	ENSG00000251025
NDUFB5P2	NA	NA	100422431	ENSG00000214628
NDUFB6	NA	B17, CI	4712	ENSG00000165264
NDUFB7	NA	B18, CI-B18, MGC2480	4713	ENSG00000099795
NDUFB8	NA	ASHI, CI-ASHI	4714	ENSG00000166136
NDUFB8P1	NA	NA	326606	ENSG00000258972
NDUFB8P2	NA	NA	729565	ENSG00000270264
NDUFB8P3	NA	NA	100132286	NA
NDUFB9	NA	B22, UQOR22, LYRM3	4715	ENSG00000147684
NDUFB9P1	NA	NA	NA	ENSG00000271045
NDUFB9P2	NA	NA	100128596	ENSG00000236281
NDUFB9P3	NA	NA	100129370	ENSG00000253994
NDUFB10	NA	PDSW	4716	ENSG00000140990
NDUFB10P1	NA	NA	100128711	ENSG00000260870
NDUFB10P2	NA	NA	NA	ENSG00000261624
NDUFB11	NA	ESSS, NP17.3, Np15	54539	ENSG00000147123
NDUFB11P1	NDUFB11P	NA	390239	ENSG00000235547
NDUFC1	NA	KFYI	4717	ENSG00000109390
NDUFC2	NA	B14.5b, HLC-1	4718	ENSG00000151366
NDUFC2-KCTD14	NA	NA	100532726	ENSG00000259112
NDUFS1	NA	CI-75k	4719	ENSG00000023228
NDUFS2	NA	CI-49	4720	ENSG00000158864
NDUFS2L~withdrawn	NA	NA	NA	NA
NDUFS3	NA	CI-30	4722	ENSG00000213619
NDUFS4	NA	AQDQ, CI-18	4724	ENSG00000164258
NDUFS5	NA	CI-15k	4725	ENSG00000168653
NDUFS5P1	NA	NA	NA	ENSG00000218424
NDUFS5P2	NA	NA	100286918	ENSG00000234226
NDUFS5P3	NA	NA	100288149	ENSG00000233664
NDUFS5P4	NA	NA	100287817	ENSG00000251437
NDUFS5P5	NA	NA	100128177	ENSG00000230671
NDUFS5P6	NA	NA	NA	ENSG00000255531
NDUFS5P7	NA	NA	100130794	NA
NDUFS6	NA	CI-13kA	4726	ENSG00000145494
NDUFS6P1	NA	NA	NA	ENSG00000241905
NDUFS7	NA	PSST, FLJ46880, FLJ45860, CI-20	374291	ENSG00000115286
NDUFS8	NA	TYKY, CI-23k	4728	ENSG00000110717
NDUFV1	NA	CI-51K	4723	ENSG00000167792
NDUFV2	NA	CI-24k	4729	ENSG00000178127
NDUFV2-AS1	NA	NA	101927275	ENSG00000266053
NDUFV2P1	NA	NA	4730	ENSG00000267809
NDUFV3	NA	CI-10k	4731	ENSG00000160194
NEAT1	NCRNA00084	TncRNA, MENepsilon/beta, LINC00084, VINC	283131	ENSG00000245532
NEB	NEM2	NEB177D	4703	ENSG00000183091
NEBL	C10orf113	LASP2, LNEBL, bA165O3.1	10529	ENSG00000078114
NEBL-AS1	NA	NA	100128511	ENSG00000231920
NEC1~withdrawn	NA	NA	NA	NA
NEC2~withdrawn	NA	NA	NA	NA
NECAB1	EFCBP1	NA	64168	ENSG00000123119
NECAB2	EFCBP2	NA	54550	ENSG00000103154
NECAB3	SYTIP2, APBA2BP	XB51, dJ63M2.4, NIP1, dJ63M2.5, EFCBP3	63941	ENSG00000125967
NECAP1	NA	DKFZP566B183	25977	ENSG00000089818
NECAP1P1	NA	NA	442668	ENSG00000178503
NECAP1P2	NA	NA	NA	ENSG00000234632
NECAP2	NA	FLJ10420	55707	ENSG00000157191
NECTIN1	HVEC, ED4, PVRL1	PRR, PRR1, PVRR1, SK-12, HIgR, CLPED1, CD111, OFC7	5818	ENSG00000110400
NECTIN1-AS1	NA	NA	105369525	ENSG00000255247
NECTIN2	HVEB, PVRL2	PVRR2, PRR2, CD112	5819	ENSG00000130202
NECTIN3	PVRL3	nectin-3, PPR3, PVRR3, DKFZP566B0846, CDw113, CD113	25945	ENSG00000177707
NECTIN3-AS1	PVRL3-AS1	NA	100506555	ENSG00000242242
NECTIN4	PVRL4	nectin-4, PRR4, LNIR	81607	ENSG00000143217
NECTIN4-AS1	NA	NA	105371471	ENSG00000228917
NEDD1	NA	GCP-WD, TUBGCP7	121441	ENSG00000139350
NEDD2~withdrawn	NA	NA	NA	NA
NEDD3~withdrawn	NA	NA	NA	NA
NEDD4	NA	KIAA0093, MGC176705, NEDD4-1, RPF1	4734	ENSG00000069869
NEDD4L	NA	KIAA0439, RSP5, NEDD4-2	23327	ENSG00000049759
NEDD6~withdrawn	NA	NA	NA	NA
NEDD7~withdrawn	NA	NA	NA	NA
NEDD8	NA	Nedd-8	4738	ENSG00000129559
NEDD8-MDP1	NA	NA	100528064	ENSG00000255526
NEDD8P1	NA	NA	100128775	ENSG00000226970
NEDD9	NA	HEF1, CAS-L, CASS2	4739	ENSG00000111859
NEDD10~withdrawn	NA	NA	NA	NA
NEF4~withdrawn	NA	NA	NA	NA
NEF5~withdrawn	NA	NA	NA	NA
NEFH	NA	NF-H, NFH	4744	ENSG00000100285
NEFHP1	NEFHL	NA	339396	ENSG00000223489
NEFL	NA	NFL, CMT1F, CMT2E, NF68, PPP1R110	4747	ENSG00000277586
NEFLL1	NA	NA	NA	NA
NEFLL2	NA	NA	NA	NA
NEFLP1	NA	NA	359795	ENSG00000232634
NEFM	NEF3	NFM, NF-M	4741	ENSG00000104722
NEFMP1	NA	NA	100420737	ENSG00000224697
NEGF1~withdrawn	NA	NA	NA	NA
NEGF2~withdrawn	NA	NA	NA	NA
NEGR1	NA	KILON, MGC46680, Ntra, IGLON4	257194	ENSG00000172260
NEGR1-AS1	NA	NA	NA	NA
NEGR1-IT1	NA	NA	NA	ENSG00000228853
NEIL1	NA	FLJ22402, hFPG1, NEI1, FPG1	79661	ENSG00000140398
NEIL2	NA	NEH2, FLJ31644, MGC2832, MGC4505	252969	ENSG00000154328
NEIL3	NA	FLJ10858, hFPG2, FPG2, hNEI3, ZGRF3	55247	ENSG00000109674
NEK1	NA	NY-REN-55, KIAA1901	4750	ENSG00000137601
NEK2	NA	NLK1, NEK2A, RP67, PPP1R111	4751	ENSG00000117650
NEK2P1	NEK2P	NA	326302	ENSG00000277367
NEK2P2	NA	NA	100379667	ENSG00000231565
NEK2P3	NA	NA	100158258	NA
NEK2P4	NA	NA	100381202	ENSG00000230450
NEK3	NA	HSPK36, MGC29949	4752	ENSG00000136098
NEK4	STK2	NRK2, pp12301	6787	ENSG00000114904
NEK4P1	NA	NA	100421718	ENSG00000225735
NEK4P2	NA	NA	100421734	ENSG00000264359
NEK4P3	NA	NA	100421728	ENSG00000270754
NEK5	NA	NA	341676	ENSG00000197168
NEK6	NA	SID6-1512	10783	ENSG00000119408
NEK7	NA	NA	140609	ENSG00000151414
NEK8	NA	NPHP9	284086	ENSG00000160602
NEK9	NA	Nek8, NERCC, DKFZp434D0935, MGC16714, NERCC1	91754	ENSG00000119638
NEK10	NA	FLJ32685	152110	ENSG00000163491
NEK11	NA	FLJ23495	79858	ENSG00000114670
NELFA	WHSC2	NELF-A	7469	ENSG00000185049
NELFB	COBRA1	KIAA1182, NELF-B	25920	ENSG00000188986
NELFCD	TH1L	HSPC130, TH1, NELF-C, NELF-D	51497	ENSG00000101158
NELFE	RDBP	RD, D6S45, NELF-E, RDP	7936	ENSG00000204356
NELL1	NA	IDH3GL, FLJ45906	4745	ENSG00000165973
NELL2	NA	NRP2	4753	ENSG00000184613
NEM1~withdrawn	NA	NA	NA	NA
NEM2~withdrawn	NA	NA	NA	NA
NEMF	SDCCAG1	NY-CO-1, FLJ10051	9147	ENSG00000165525
NEMP1	TMEM194, TMEM194A	KIAA0286	23306	ENSG00000166881
NEMP2	TMEM194B	NA	100131211	ENSG00000189362
NENF	NA	CIR2, SCIRP10, SPUF	29937	ENSG00000117691
NENFP1	NA	NA	NA	ENSG00000233647
NENFP2	NA	NA	100129880	ENSG00000258288
NENFP3	NA	NA	NA	ENSG00000248462
NEO1	NA	NGN, HsT17534, IGDCC2, NTN1R2	4756	ENSG00000067141
NEP~withdrawn	NA	NA	NA	NA
NEPNP	NA	NPN, NEPN	442253	ENSG00000218233
NEPRO	C3orf17	DKFZP434F2021, NET17	25871	ENSG00000163608
NES	NA	FLJ21841	10763	ENSG00000132688
NET1	NA	ARHGEF8, NET1A	10276	ENSG00000173848
NET1~withdrawn	NA	NA	NA	NA
NETO1	NA	BTCL1, BCTL1	81832	ENSG00000166342
NETO2	NA	FLJ10430, NEOT2	81831	ENSG00000171208
NEU1	NEU	NA	4758	ENSG00000204386
NEU2	NA	SIAL2	4759	ENSG00000115488
NEU3	NA	NA	10825	ENSG00000162139
NEU4	NA	NA	129807	ENSG00000204099
NEURL1	NEURL	h-neu, RNF67, neu-1	9148	ENSG00000107954
NEURL1-AS1	NA	NA	102724341	ENSG00000235470
NEURL1B	NA	DKFZP761M1511, Neur2, RNF67B	54492	ENSG00000214357
NEURL2	C20orf163	dJ337O18.6, FLJ30259, Ozz, Ozz-E3	140825	ENSG00000124257
NEURL3	NA	Lincr, LOC93082, RNF132	93082	ENSG00000163121
NEURL4	NA	KIAA1787	84461	ENSG00000215041
NEUROD1	NEUROD	BETA2, BHF-1, NeuroD, bHLHa3, MODY6	4760	ENSG00000162992
NEUROD2	NA	NDRF, bHLHa1	4761	ENSG00000171532
NEUROD3~withdrawn	NA	NA	NA	NA
NEUROD4	NA	Atoh3, ATH-3, MATH-3, bHLHa4	58158	ENSG00000123307
NEUROD6	NA	Atoh2, NEX1M, Math-2, bHLHa2, Nex1	63974	ENSG00000164600
